id,width,length,height,weight
1,236,415,181,905
2,335,84,298,295
3,103,429,280,674
4,101,226,5,758
5,23,9,165,800
6,289,470,68,397
7,369,184,490,115
8,399,334,486,781
9,21,315,478,9
10,489,468,373,504
11,350,400,427,857
12,7,215,399,902
13,336,224,244,381
14,337,481,206,402
15,232,231,325,160
16,9,174,381,903
17,137,231,347,706
18,467,11,85,31
19,243,77,24,718
20,77,142,307,141
21,30,436,67,256
22,397,443,318,404
23,354,481,249,935
24,105,306,189,275
25,61,140,213,906
26,71,3,76,533
27,79,205,319,831
28,131,450,337,903
29,258,215,459,923
30,320,105,476,992
31,432,498,198,727
32,25,409,34,813
33,138,428,115,36
34,181,458,481,407
35,3,476,489,611
36,333,255,53,70
37,29,348,387,322
38,1,92,130,139
39,141,424,270,21
40,496,437,134,628
41,125,482,269,795
42,421,84,225,252
43,11,461,355,672
44,467,308,213,294
45,107,107,244,561
46,182,500,432,67
47,20,462,158,935
48,2,498,388,295
49,182,417,119,591
50,391,421,431,549
51,19,402,325,935
52,13,74,113,756
53,157,36,207,152
54,393,130,60,463
55,435,254,185,476
56,373,101,76,16
57,375,226,480,578
58,423,69,259,20
59,447,383,277,355
60,227,355,412,796
61,414,424,481,581
62,242,25,93,520
63,422,114,221,804
64,44,435,398,491
65,302,217,324,384
66,404,21,330,571
67,60,43,491,869
68,294,153,420,878
69,460,290,136,871
70,282,392,376,976
71,225,108,405,687
72,381,240,178,351
73,115,70,106,414
74,452,195,474,192
75,27,32,185,547
76,190,183,217,939
77,198,152,14,29
78,279,367,244,706
79,199,228,250,342
80,53,72,116,261
81,407,39,262,143
82,205,301,236,243
83,136,125,372,706
84,303,175,474,317
85,133,315,115,618
86,67,161,38,526
87,416,152,138,996
88,496,150,227,771
89,459,472,309,771
90,113,316,220,941
91,442,488,472,749
92,467,253,335,180
93,438,321,258,974
94,265,375,370,332
95,182,74,377,114
96,389,345,29,65
97,127,464,372,941
98,308,137,194,952
99,12,115,181,930
100,28,275,465,343
101,39,135,89,625
102,402,303,262,147
103,245,473,241,339
104,73,441,389,103
105,151,92,60,761
106,101,271,417,729
107,84,53,450,635
108,279,419,290,964
109,163,60,216,961
110,93,235,291,275
111,377,364,216,420
112,217,379,388,428
113,44,129,407,206
114,381,269,182,671
115,381,308,306,470
116,326,487,197,113
117,145,215,433,928
118,490,284,352,326
119,334,161,268,210
120,301,418,231,515
121,405,232,168,506
122,262,18,17,570
123,208,358,223,381
124,286,108,409,628
125,294,175,362,765
126,171,312,169,626
127,201,498,314,848
128,5,188,255,247
129,322,56,307,314
130,313,378,288,846
131,98,189,477,46
132,239,43,380,464
133,322,377,361,250
134,476,333,317,374
135,77,228,347,82
136,174,284,483,768
137,101,456,303,55
138,118,228,327,430
139,355,385,115,978
140,34,277,252,252
141,87,2,465,13
142,48,245,304,870
143,17,87,60,980
144,317,456,163,293
145,377,406,76,173
146,137,389,366,171
147,205,449,159,45
148,168,51,414,638
149,424,242,254,200
150,442,171,386,321
151,489,387,234,450
152,64,440,422,265
153,14,164,458,397
154,272,245,220,193
155,63,404,218,528
156,256,286,61,212
157,355,219,216,89
158,279,17,76,640
159,408,355,281,768
160,292,440,304,222
161,161,82,338,890
162,71,269,31,271
163,436,387,33,343
164,204,499,256,547
165,410,69,63,454
166,325,302,429,109
167,341,426,406,357
168,52,75,340,507
169,406,155,399,331
170,9,404,81,7
171,390,357,18,47
172,380,160,272,566
173,379,435,292,222
174,196,77,187,230
175,306,293,59,176
176,217,284,162,682
177,267,468,319,341
178,128,148,476,715
179,43,16,168,20
180,139,330,116,786
181,91,169,395,934
182,110,58,281,142
183,292,190,274,709
184,313,224,18,784
185,169,396,471,566
186,59,32,480,683
187,341,396,109,558
188,9,307,321,528
189,131,317,214,904
190,297,418,132,126
191,209,341,444,309
192,209,265,107,115
193,33,315,292,767
194,499,245,333,672
195,106,477,250,854
196,215,67,40,931
197,149,130,167,746
198,163,468,117,430
199,447,172,137,122
200,200,176,210,966
201,363,369,219,440
202,19,230,487,780
203,135,113,468,576
204,443,112,160,836
205,296,198,74,738
206,497,84,346,111
207,40,35,101,620
208,222,355,61,622
209,419,136,453,610
210,213,51,494,687
211,349,452,261,121
212,24,294,253,385
213,226,151,15,722
214,57,156,237,317
215,68,77,58,461
216,408,479,177,469
217,101,54,440,659
218,136,433,158,727
219,57,373,488,173
220,400,380,41,931
221,350,268,12,347
222,453,101,358,259
223,205,222,293,334
224,242,132,238,669
225,197,450,33,47
226,57,130,283,820
227,262,308,353,363
228,375,264,81,587
229,276,374,404,238
230,83,190,110,300
231,48,393,111,692
232,133,488,336,137
233,343,144,110,53
234,427,188,38,264
235,322,153,482,417
236,54,272,9,374
237,313,188,223,339
238,497,434,408,924
239,441,176,483,138
240,387,155,66,774
241,438,282,170,103
242,238,287,413,380
243,71,15,58,913
244,305,428,149,434
245,332,143,273,625
246,497,311,58,719
247,37,112,251,588
248,58,156,468,761
249,450,342,238,284
250,333,329,434,153
251,372,420,127,79
252,352,325,368,178
253,151,122,149,998
254,321,59,242,172
255,452,485,108,857
256,146,326,2,479
257,276,53,102,935
258,217,45,56,39
259,260,55,113,156
260,137,69,376,767
261,169,401,255,272
262,486,386,151,749
263,366,57,98,708
264,166,167,240,345
265,198,287,370,136
266,53,47,138,947
267,99,196,96,448
268,7,485,197,21
269,71,325,199,276
270,30,357,479,827
271,121,126,337,872
272,337,242,306,639
273,426,231,488,546
274,145,108,233,903
275,416,296,267,178
276,476,290,409,820
277,171,100,4,137
278,464,29,143,836
279,385,491,223,868
280,55,331,110,126
281,62,402,215,211
282,159,123,266,682
283,421,315,453,671
284,133,445,206,357
285,244,417,223,830
286,349,309,436,242
287,167,479,222,224
288,100,379,211,46
289,132,454,152,592
290,393,252,125,889
291,473,9,445,760
292,409,487,367,70
293,231,363,376,856
294,330,198,388,108
295,103,105,393,602
296,362,314,394,387
297,458,283,466,945
298,451,265,95,313
299,250,397,168,7
300,429,238,120,744
301,169,165,21,215
302,445,16,43,420
303,383,177,54,365
304,6,500,112,881
305,356,143,55,605
306,355,42,490,705
307,158,383,105,3
308,384,194,133,893
309,87,246,364,921
310,128,245,154,989
311,89,49,455,796
312,442,24,92,186
313,248,318,314,750
314,460,428,462,600
315,465,23,306,791
316,144,94,284,968
317,350,123,494,583
318,380,410,121,895
319,87,89,240,593
320,107,420,360,993
321,33,390,458,735
322,59,466,344,10
323,235,182,32,625
324,493,374,198,962
325,198,217,256,797
326,230,71,341,29
327,1,167,223,798
328,7,428,50,199
329,175,197,368,183
330,53,389,420,737
331,269,7,340,323
332,383,278,308,524
333,69,247,217,575
334,19,158,209,429
335,50,409,106,741
336,431,313,313,557
337,331,194,1,73
338,224,181,46,778
339,472,283,243,363
340,88,17,483,721
341,49,414,140,149
342,94,282,5,45
343,497,75,420,140
344,393,194,7,840
345,330,162,213,339
346,127,234,100,767
347,332,500,22,626
348,127,192,76,3
349,425,23,480,733
350,89,66,35,103
351,488,75,147,960
352,352,154,432,434
353,473,363,279,635
354,430,495,288,895
355,342,295,212,770
356,237,5,367,113
357,258,437,16,241
358,395,262,391,649
359,203,57,136,70
360,7,402,458,925
361,320,342,360,576
362,446,380,247,839
363,404,26,321,934
364,331,40,332,917
365,34,466,385,968
366,427,300,437,727
367,192,445,67,218
368,442,457,245,189
369,356,498,402,496
370,18,131,396,303
371,83,235,438,485
372,258,83,68,487
373,346,394,225,613
374,58,94,283,706
375,43,14,479,767
376,80,239,323,606
377,378,350,45,633
378,288,449,26,705
379,429,428,419,356
380,165,304,470,750
381,43,322,198,407
382,313,134,303,248
383,243,8,334,60
384,33,374,77,116
385,86,213,154,479
386,342,210,429,878
387,194,165,246,967
388,280,320,472,84
389,201,192,247,797
390,485,375,312,144
391,71,284,421,101
392,130,53,325,741
393,364,481,60,477
394,192,391,355,608
395,188,54,294,712
396,376,111,211,906
397,293,190,328,726
398,316,51,13,275
399,2,330,427,431
400,79,155,204,716
401,474,254,263,692
402,271,32,146,713
403,496,424,174,364
404,497,461,66,555
405,196,59,420,827
406,317,319,137,138
407,290,368,351,558
